district,grade 1,grade 2,grade 3,grade 4,grade 5,grade 6,grade 7,grade 8,grade 9,grade 10,province
Dailekh,4.1,4.6,3.6,4.1,10.1,6.8,8.7,11.8,3.7,10.3,Karnali
Jajarkot,9.6,5.1,5.3,3.5,9.7,7.8,7.0,12.6,11.3,11.0,Karnali
Dang,8.7,2.6,1.8,2.7,3.4,4.0,5.0,5.0,3.8,8.4,Karnali
Banke,3.5,3.7,2.0,3.8,6.3,4.9,3.0,5.8,7.0,10.7,Province 5
Bardiya,5.6,3.1,1.8,3.4,4.3,6.1,4.8,6.8,4.5,6.3,Province 5
Bajura,4.3,4.8,9.8,5.5,8.8,12.5,14.3,11.3,10.5,12.3,Province 5
Bajhang,11.8,4.8,5.6,4.5,14.7,10.0,7.4,17.7,13.8,11.6,Province 7
Darchula,2.8,4.8,0.4,4.0,11.1,6.1,10.3,9.4,8.1,13.5,Province 7
Achham,3.8,5.4,3.7,3.9,11.7,8.7,10.6,10.0,10.9,11.2,Province 7
Doti,6.7,4.9,6.9,7.5,8.7,9.7,9.3,9.5,15.0,13.4,Province 7
Dadeldhura,5.3,4.9,7.6,8.3,7.0,10.2,6.0,11.8,7.2,13.3,Province 7
Baitadi,4.5,4.8,1.6,3.3,3.5,6.5,7.4,5.5,4.8,8.3,Province 7
Kailali,18.2,4.3,2.0,3.8,3.3,3.5,2.5,5.4,4.3,6.0,Province 7
Kanchanpur,14.8,8.7,7.4,4.5,8.0,6.0,5.6,4.6,4.2,7.8,Province 7
Total,7.9,4.3,3.6,3.7,6.2,6.3,6.0,7.1,5.9,8.0,Unknown
